,title,genres
588,the blind side,Drama
589,serenity,"Action,Adventure,Sci-Fi"
590,serenity,"Action,Adventure,Sci-Fi"
591,serenity,"Action,Adventure,Sci-Fi"
592,syriana,"Thriller,Drama"
593,michael collins,"Thriller,Drama"
594,burn after reading,"Comedy,Crime,Drama"
595,alexander,"Action,Drama"
596,deep impact,"Action,Romance,Drama"
597,deep impact,"Action,Romance,Drama"
598,die hard,"Action,Thriller"
599,die hard,"Action,Thriller"
600,die hard,"Action,Thriller"
601,joe kidd,Western
602,joe kidd,Western
603,joe kidd,Western
604,full metal jacket,Drama
605,ocean's thirteen,"Action,Thriller,Crime"
606,the judge,"Crime,Drama"
607,jarhead,"Action,Drama"
608,hollywood homicide,"Action,Comedy,Crime"
609,rocketman,"Comedy,Sci-Fi"
610,the blind side,Drama
611,serenity,"Action,Adventure,Sci-Fi"
612,marinai in coperta,Comedy
613,syriana,"Thriller,Drama"
614,the departed,"Thriller,Crime,Drama"
615,un maledetto imbroglio,"Crime,Drama"
616,alexander,"Action,Drama"
617,deep impact,"Action,Romance,Drama"
618,die hard,"Action,Thriller"
619,joe kidd,Western
620,il piatto piange,Comedy
621,il merlo maschio,Comedy
622,jarhead,"Action,Drama"
623,il domestico,Comedy
624,i lancieri neri,"Action,Adventure,Drama"
625,rocketman,"Comedy,Sci-Fi"
626,the doors,Drama
627,peggio per me... meglio per te,Comedy
628,nel nome del padre,Drama
629,quelli belli... siamo noi,Romance
630,una spada per l'impero,"Action,Adventure,Drama"
631,ladri di saponette,Comedy
632,gangster story,"Thriller,Crime,Drama"
633,the truth about charlie,Thriller
634,firewall,"Action,Thriller,Crime"
635,serenata a maria,Drama
636,sai cosa faceva stalin alle donne?,Comedy
637,the doors,Drama
638,la rosa di bagdad,Fantasy
639,gangster story,"Thriller,Crime,Drama"
640,burn after reading,"Comedy,Crime,Drama"
641,seminole,"Adventure,Western"
642,american pastoral,"Crime,Drama"
643,ballistic,"Action,Thriller"
644,frontera,"Action,Crime,Drama"
645,the truth about charlie,Thriller
646,firewall,"Action,Thriller,Crime"
647,deep impact,"Action,Romance,Drama"
648,thunderstruck,"Comedy,Drama"
649,big fat liar,"Comedy,Adventure"
650,lost in translation,"Comedy,Drama"
651,air force,"Action,Drama"
652,agents secrets,"Action,Thriller,Crime"
653,hollywood ending,"Comedy,Romance"
654,cellular,"Action,Thriller,Crime"
655,the blind side,Drama
656,"il buono, il brutto, il cattivo",Western
657,"il buono, il brutto, il cattivo",Western
658,changeling,"Crime,Drama"
659,atlas,"Action,Adventure,Drama"
660,n (io e napoleone),Comedy
661,tra due mondi,Drama
662,munich,"Action,Drama"
663,shakespeare in love,"Comedy,Drama"
664,burn after reading,"Comedy,Crime,Drama"
665,nuovomondo,"Romance,Drama"
666,"buongiorno, notte",Drama
667,flags of our fathers,"Action,Adventure,Drama"
668,la terra,"Crime,Drama"
669,the conspirator,"Crime,Drama"
670,the blind side,Drama
671,il profeta,Comedy
672,il profeta,Comedy
673,barry lyndon,"Adventure,Drama"
674,syriana,"Thriller,Drama"
675,c'era una volta il west,Western
676,atlas,"Action,Adventure,Drama"
677,ted bundy,"Crime,Drama"
678,suburbicon,"Comedy,Crime,Drama"
679,burn after reading,"Comedy,Crime,Drama"
680,marnie,"Crime,Drama"
681,dark night,Horror
682,nuovomondo,"Romance,Drama"
683,l'imbalsamatore,"Romance,Drama"
684,the conspirator,"Crime,Drama"
685,gomorra,"Crime,Drama"
686,la leggenda del pianista sull'oceano,"Romance,Drama"
687,michael clayton,"Crime,Drama"
688,tra due mondi,Drama
689,munich,"Action,Drama"
690,ted bundy,"Crime,Drama"
691,suburbicon,"Comedy,Crime,Drama"
692,shakespeare in love,"Comedy,Drama"
693,per un pugno di dollari,"Action,Western,Drama"
694,blade runner,"Action,Sci-Fi,Thriller"
695,tra due mondi,Drama
696,tra due mondi,Drama
697,munich,"Action,Drama"
698,forrest gump,"Romance,Drama"
699,vanilla sky,"Romance,Fantasy"
700,marnie,"Crime,Drama"
701,"buongiorno, notte",Drama
702,solaris,"Romance,Drama"
703,solaris,"Romance,Drama"
704,passion of mind,"Romance,Drama"
705,the illusionist,"Drama,Fantasy"
706,the cave,"Action,Adventure,Horror"
707,ultimo tango a parigi,"Romance,Drama"
708,il casanova di federico fellini,Drama
709,cronaca di un amore,"Romance,Crime,Drama"
710,morte a venezia,"Romance,Drama"
711,dark matter,Drama
712,la battaglia di algeri,Drama
713,la donna scimmia,"Comedy,Drama"
714,la donna scimmia,"Comedy,Drama"
715,amore tossico,"Crime,Drama"
716,trainspotting,Drama
717,kinsey,"Romance,Drama"
718,kinsey,"Romance,Drama"
719,battle in seattle,"Action,Drama"
720,space cowboys,"Action,Adventure,Thriller"
721,space cowboys,"Action,Adventure,Thriller"
722,romanzo criminale,"Crime,Drama"
723,profumo di donna,"Comedy,Drama"
724,profumo di donna,"Comedy,Drama"
725,american history x,Drama
726,alexander,"Action,Drama"
727,l'amico di famiglia,Drama
728,the truman show,"Comedy,Drama"
729,the truman show,"Comedy,Drama"
730,cronaca di un amore,"Romance,Crime,Drama"
731,revolutionary road,"Romance,Drama"
732,the dinner,Drama
733,dark matter,Drama
734,le conseguenze dell'amore,"Romance,Crime,Drama"
735,radiofreccia,Drama
736,elle,Drama
737,elle,Drama
738,crescendo,"Thriller,Horror"
739,neverland,"Drama,Fantasy"
740,space cowboys,"Action,Adventure,Thriller"
741,space cowboys,"Action,Adventure,Thriller"
742,romanzo criminale,"Crime,Drama"
743,profumo di donna,"Comedy,Drama"
744,profumo di donna,"Comedy,Drama"
745,l'amico di famiglia,Drama
746,the truman show,"Comedy,Drama"
747,the truman show,"Comedy,Drama"
748,revolutionary road,"Romance,Drama"
749,the dinner,Drama
750,le conseguenze dell'amore,"Romance,Crime,Drama"
751,le conseguenze dell'amore,"Romance,Crime,Drama"
752,radiofreccia,Drama
753,elle,Drama
754,elle,Drama
755,crescendo,"Thriller,Horror"
756,blackbird,Drama
757,the cave,"Action,Adventure,Horror"
758,romanzo criminale,"Crime,Drama"
759,world trade center,"Thriller,Drama"
760,profumo di donna,"Comedy,Drama"
