,day,day_number,month,daytime,title,duration,duration_with_advertising,channel,year,genres,rating,advertising,sharing
212,Mercoledì,31,agosto,mattina,vanilla sky,136,140,Sky Due,2001,"Romance,Fantasy",6.9,4,0.06
213,Mercoledì,31,agosto,mattina,marnie,130,135,Sky Due,1964,"Crime,Drama",7.2,5,0.06
214,Lunedì,8,agosto,mattina,nuovomondo,118,120,Sky Due,2006,"Romance,Drama",6.9,2,0.06
215,Giovedì,11,agosto,mattina,patch adams,115,120,Sky Due,1998,"Comedy,Drama",6.8,5,0.06
216,Mercoledì,3,agosto,mattina,motherless brooklyn,144,145,Sky Due,2019,"Crime,Drama",6.8,1,0.06
217,Sabato,13,agosto,mattina,the conspirator,122,130,Sky Due,2010,"Crime,Drama",6.9,8,0.06
218,Martedì,30,agosto,sera,la padrina,95,110,Sky Due,1973,Crime,6.0,15,0.08
219,Venerdì,26,agosto,sera,la padrina,95,110,Sky Due,1973,Crime,6.0,15,0.08
220,Mercoledì,24,agosto,sera,saturno contro,110,115,Sky Due,2007,"Romance,Drama",6.7,5,0.08
221,Mercoledì,31,agosto,sera,the wrestler,95,115,Sky Due,1974,"Action,Crime,Drama",5.2,20,0.08
222,Mercoledì,17,agosto,sera,tra due mondi,88,110,Sky Due,2001,Drama,5.6,22,0.08
223,Mercoledì,24,agosto,sera,the departed,151,155,Sky Due,2006,"Thriller,Crime,Drama",8.5,4,0.08
224,Lunedì,8,agosto,sera,hook,142,145,Sky Due,1991,"Comedy,Adventure",6.8,3,0.08
225,Lunedì,29,agosto,sera,forrest gump,142,145,Sky Due,1994,"Romance,Drama",8.8,3,0.08
226,Giovedì,18,agosto,sera,forrest gump,142,145,Sky Due,1994,"Romance,Drama",8.8,3,0.08
227,Domenica,14,agosto,sera,marnie,130,130,Sky Due,1964,"Crime,Drama",7.2,0,0.08
228,Giovedì,11,agosto,sera,patch adams,115,120,Sky Due,1998,"Comedy,Drama",6.8,5,0.08
229,Sabato,20,agosto,sera,patch adams,115,120,Sky Due,1998,"Comedy,Drama",6.8,5,0.08
230,Giovedì,4,agosto,sera,white oleander,109,120,Sky Due,2002,Drama,7.1,11,0.08
231,Mercoledì,3,agosto,sera,american beauty,122,125,Sky Due,1999,Drama,8.3,3,0.08
232,Sabato,27,agosto,pomeriggio,la padrina,95,110,Sky Due,1973,Crime,6.0,15,0.085
233,Giovedì,25,agosto,pomeriggio,saturno contro,110,115,Sky Due,2007,"Romance,Drama",6.7,5,0.085
234,Mercoledì,31,agosto,pomeriggio,michael clayton,119,125,Sky Due,2007,"Crime,Drama",7.2,6,0.085
235,Sabato,13,agosto,pomeriggio,big fish,125,125,Sky Due,2003,"Adventure,Drama,Fantasy",8.0,0,0.085
236,Venerdì,12,agosto,pomeriggio,c'era una volta il west,165,170,Sky Due,1968,Western,8.5,5,0.085
237,Martedì,30,agosto,pomeriggio,tra due mondi,88,110,Sky Due,2001,Drama,5.6,22,0.085
238,Martedì,16,agosto,pomeriggio,munich,164,165,Sky Due,2005,"Action,Drama",7.5,1,0.085
239,Martedì,30,agosto,pomeriggio,burn after reading,96,100,Sky Due,2008,"Comedy,Crime,Drama",7.0,4,0.085
240,Domenica,7,agosto,pomeriggio,vanilla sky,136,140,Sky Due,2001,"Romance,Fantasy",6.9,4,0.085
241,Sabato,20,agosto,pomeriggio,"buongiorno, notte",106,110,Sky Due,2003,Drama,7.1,4,0.085
